donnee;libelle;definition;lib_en;def_en
CD_HAB;Habitat dans la nomenclature HABREF;Correspondance entre l’habitat codé sur la placette et la nomenclature HABREF;Habitat according to the HABREF nomenclature;Correspondence between the habitat observed on the plot and the HABREF nomenclature
CD_REF;Taxon de référence;Identifiant unique de taxon de référence selon le référentiel TAXREF v13;Taxonomic rank;identification code for the taxonomic rank of the species, based on TAXREF v13 standard
CIBLE;Peuplement cible;Indicateur d'appartenance au peuplement cible.;target stand;indicates if the tree belongs to the target stand
CLASSE;Code de la classe;Correspondance entre l’habitat codé sur la placette et les classes phytosociologiques selon le prodrome des végétations de France;Phytosociological class code;Correspondence between the habitat observed on the plot and phytosociological classes according to the French vegetation prodome
CLON;Clone ou cultivar de peuplier;Codification du clone ou cultivar de peuplier;poplar clone or cultivar;identification of the poplar clone or cultivar
CSA;Couverture du sol (1e visite);La couverture du sol est une caractéristique spatiale décrivant la nature biophysique des principaux éléments végétaux ou minéraux présent sur la placette d'inventaire.;1st measurement phase land cover;land cover is a spatial data describing the biophysical nature of the plant or mineral elements present on the inventory plot
CSLISI;Couverture en lisière;Couverture du sol au-delà de la lisière.;edge land cover;land cover beyond the forest edge
DATEECO;Date de validation du levé écologique et floristique;Date de validation du levé écologique et floristique (format jj/mm/aaaa);ecological and floristic survey validation date;ecological and floristic survey validation date (dd/mm/yyyy format)
DATEMORT;Date de mort estimée;Date présumée de la mort d'un arbre debout sur pied (lors de la 1e visite du point).;estimated date of death ;estimated date of death of a dead standing tree (during the initial measurement period)
DATEPOINT;Date de validation de la placette levée;Date de validation de la placette levée (format jj/mm/aaaa);plot validation date;plot validation date (dd/mm/yyyy format)
DBM;Diamètre du bois mort (en m);Diamètre du morceau de bois mort au niveau de l'intersection avec le transect mis en place pour inventorier le bois mort;deadwood diameter;diameter of the deadwood piece that intersects the transect set up for deadwood inventory
DC;Type de coupe (1e visite);Nature et intensité de la coupe observée en 1e visite et estimée survenue il y a moins de 5 ans.;logging detail;nature and intensity of the logging observed during the first visit and estimated to have occurred less than 5 years ago.
DCESPAR1;Espèce coupée principale;Espèce arborée coupée principale;main logged tree species;main logged tree species
DCESPAR2;Espèce coupée secondaire;Espèce arborée coupée secondaire;secondary logged tree species;secondary logged tree species
DDEC;Diamètre à la découpe;Diamètre au niveau de découpe terminale de la bille de pied;dob diameter;Diameter at the terminal cutting level of the stump log
DECOMP;État de décomposition du bois mort au sol;Etat de décomposition d'un morceau de bois au sol, estimé au niveau de l'intersection du transect avec le morceau de bois mort (pas sur la totalité de la pièce de bois), prenant en compte l'altération de l'écorce et du bois ainsi que la texture du bois.;decay stage of lying deadwood;describes the decay stage of lying deadwood
DECOUPE;Type de découpe;Nature de la première découpe de la bille de pied.;cutting type;nature of the first cutting of the log
DEF5;Indicateur de défrichement;Indicateur permettant d'identifier un défrichement sur tout ou partie de la placette d'observation entre la première et la deuxième visite.;clearing;indicates a clearing on all or parts of the inventory plot that occurred between the first and second visits
DEGGIB;Dégât de gibier;Nature du dégât de gibier sur l'arbre.;game damage;presence and type of game damage
DENIVRIV;Dénivelé avec l’unité hydrographique;Dénivelé entre le point le plus bas de la placette d’observation de 20 ares (2000 m²) et l’unité hydrographique la plus proche.;elevation difference with the hydrographic unit;elevation difference between the lowest point of the 20 ares (2000 m2) plot and the closest hydrographic unit
DEP;Département ;Numéro minéralogique de département administratif;department;identification number of the administrative divisions at the department level
DIST;Distance de débardage;La distance de débardage est la distance ramenée à l'horizontale du parcours que doivent suivre les bois du point d'inventaire à la route accessible aux camions la plus proche, qu'une piste de débardage existe ou non.;haulage distance;distance class, projected in the horizontal plan, of the path from the inventory plot to the nearest road accessible to trucks, computed even if there is no logging trail
DISTRIV;Distance à l’unité hydrographique;Classe de distance entre le piquet repère et l’unité hydrographique la plus proche présente à moins de 50 m.;distance to the hydrographic unit;distance class between the marker stake and the closest hydrological unit located within a 50m radius from the stake
DPYR;Dégâts liés à la pyrale;Indicateur de dégâts provoqués par la pyrale sur la placette de 15 m de rayon (700 m²).;box-tree moth damage;index of damage by the box-tree moth in the 15m radius plot (700 m2)
ELAG;Présence d'élagage;Indicateur d’élagage artificiel.;pruning;indication of artifical pruning
ELISI;Exposition de la lisière (en radian);Exposition en radian de la lisière la plus proche du piquet repère (si plusieurs lisières);edge exposure (in radians);exposure in radians of the edge that is the nearest to the reference stake (if multiple edges).
ENTP;Entretien de peupleraie;Indicateur du niveau d'entretien de la peupleraie.;poplar stand management;estimation of the management level of a poplar stand
ESPAR;Espèce arborée;Code identifiant de l'espèce arborée.;tree species;Tree species identification number.
ESPAR_BM;Espèce arborée du morceau de bois mort au sol;Espèce arborée du morceau de bois mort au sol;tree species;Tree species identification number.
ESPAR_C;Espèce arborée du couvert;Espèce arborée du couvert;tree species;Tree species identification number.
EUNIS;Code EUNIS;Correspondance entre l’habitat codé sur la placette et la nomenclature EUNIS;EUNIS code;Correspondence between the habitat observed on the plot and the EUNIS nomenclature
EXPO;Exposition du point;Azimut magnétique en grades de la ligne de plus grande pente sur la placette de 25 m de rayon (2000 m²).;exposure;magnetic azimuth, in gradians, of the steepest slope line on the 25m-radius (2000m2) plot
FORME;Forme du houppier;La forme du houppier caractérise l'importance relative du houppier par rapport à la tige et l'existence d'une taille des branches.;tree crown shape;characterize the relative importance of the crown compared with the stem, as well as the presence of tree pruning
FREPLI;facteur de repli;Indicateur du positionnement d'un morceau de bois mort inventorié dans un repli.;fold multiplicative factor;Indicator of the positioning of a piece of dead wood inventoried in a fold
GEOM93;Géométrie (en projection Lambert 93);Géométrie dans le plan (en projection Lambert 93);Geometry (Lambert 93 map projection);Geometry (Lambert 93 map projection)
GEST;Traces de gestion;Indicateur du niveau de gestion et/ou d'exploitation actuelle du peuplement.;Management level;describes the management level within the sample plot
GRECO;Grandes régions écologiques;Regroupement des 86 sylvoécorégions en 11 GRECO;Great Ecological Regions;Grouping of the 86 sylvoecoregions into 11 GRECOs.
HAB;Type d'habitat présent au centre de la placette;Type d'habitat présent au centre de la placette de 20 ares, apprécié sur le terrain en s'appuyant sur une clé de détermination régionalisée;habitat type observed at the center of the 20 ares plot;habitat type observed at the center of the 20 ares plot, assessed on-site using a regional identification key
HDEC;Hauteur à la découpe (en m);Longueur de la fibre axiale de l'arbre du niveau de base au niveau de découpe terminale de la bille de pied;dob height;Length of the axial fiber of the tree from the base level to the terminal cutting level of the stump log
HERB;Taux de couvert des herbacées (en x/10);Taux de couvert en dixièmes des plantes herbacées et muscinales sur la placette de 15 m de rayon (700 m²).;cover rate of herbaceous species (in 1/10th);cover rate, in 1/10th, of herbaceous and mossy species on the 15m-radius (700m2) plot
HIC;Habitat d'intérêt communautaire;Correspondance entre l’habitat codé sur la placette et la nomenclature des habitats d'intérêt communautaire de la directive "Habitats";Habitats of community interest;Correspondence between the habitat observed on the plot and the habitats of community interest nomenclature of the « Habitats » directive
HRB;Hauteur de rebut (en m);Hauteur en mètres depuis le sol de la partie rebut de la tige principale.;waste height;waste height, in m, measured from the ground on the main stem of the tree
HTOT;Hauteur totale (en m);Longueur de la fibre axiale de l'arbre du niveau de base au bourgeon terminal de la tige maîtresse;Tree height (m);overall heigth of the tree in metre, measured from ground level to the top of the main stem
HUMUS;Type d'humus;L’humus est la couche supérieure du sol, issue de la décomposition de la matière organique.;humus type;humus is the top soil layer, originating from organic matter decomposition
IDP;Identifiant externe de placette;Identifiant utilisé dès que l'on exporte des données de placette hors IGN;external plot identification number;identification number used when exporting plot data outside IGN teams
INCID;Intensité de l'incident;Indicateur caractérisant l'intensité de l'incident survenu dans les 5 dernières années sur le point.;disturbance intensity;characterisation of the intensity of the disturbance that have occurred in the inventory plot within the last 5 years
INCO_FLOR;Incohérence floristique;Indicateur signalant la raison pour laquelle l'espèce décrite est incohérente dans le cortège floristique.;floristic inconsistency;indicates the reason why the described species is inconsistent in the floristic procession.
INSTP5;Installation de peuplement (2e visite);Indicateur de travaux d'installation de peuplement survenus entre la première et la deuxième visite (LT2).;stand establishment;describes sylvicultural work with the purpose of establishing a new forest stand that occurred between the 1st and 2nd visit
INTEGR;Détail non individualisé;Indicateur de prise en compte, dans la description du peuplement sur 20 ares, d’un terrain qui serait d’une couverture du sol non boisée, si les seuils de surface et/ou de largeur étaient atteints.;non-individually distinguishable detail;indication of the consideration, in the description of the stand over 20 ares, of an area that would display a non-wooded ground cover, if the area and/or width thresholds were met.
IPLANT;Inter-base de plantation (en m);Espacement des rangs de plantation;inter-spacing (in m);spacing between planting lines
IR1;Accroissement radial sur 1 an (en m);Accroissement radial moyen de l'arbre lors de la dernière année (exprimé en mètre);1 year radial increment;growth increment (in m) measured from the growth ring formed during the year preceding the measurement campaign (current year ring is not measured)
IR5;Accroissement radial sur 5 ans (en m);Accroissement radial moyen de l'arbre lors des 5 dernières années;radial increment on 5 years;average growth increment from the 5 last growth rings, in m
ITI;Itinéraire de débardage;Indicateur de la présence d’itinéraires de débardage (pistes de débardage ou autres).;logging route;indication of the presence of logging route (e.g. logging trail, ...)
LFSD;Longueur de fût sans défaut (en m);Longueur en mètres de la partie du fût sans aucun défaut apparent, mesurée du pied de l’arbre jusqu’au premier défaut.;stem length without defect;Lenght (in m) of the part of the stem without any apparent defect, measured from the stump to the first defect.
LIB;Taux de couvert libre de l'arbre;Le couvert libre est la surface planimétrique de la projection verticale de la partie du houppier qui n'est pas surplombée par le feuillage d'autres arbres en période de feuillaison.;free crown ratio;planimetric surface of the vertical projection of the crown portion not overshadowed by the foliage of other trees during the leafing period
LIB_HAB;Libellé d'habitat;Libellé d'habitat forestier;;
LIB_HAB_FR;Libellé de l'habitat selon HABREF;Libellé de l'habitat forestier selon la nomenclature HABREF;;
LIB_HIC;Libellé d'habitat d'intérêt communautaire;Libellé de l'habitat selon la nomenclature des habitats d'intérêt communautaire;;
LIB_OBSHAB;Libellé des conditions d'observation d'habitat;Libellé d'indicateur des conditions d'observation d'habitat forestier;;
LIB_QUALHAB;Libellé de doute sur l'habitat;Libellé de l'indicateur de qualité sur l'habitat forestier;;
LIGN1;Taux de couvert des ligneux bas (en x/10);Taux de couvert en dixièmes des ligneux bas (moins de 2 m) sur la placette de 15 m de rayon (700 m²).;canopy cover rate of low-stature woody species (in 1/10th);canopy cover rate, in 1/10th of low-stature woody species (less than 2m) on the 15m-radius (700m2) plot
LIGN2;Taux de couvert des ligneux hauts (en x/10);Taux de couvert en dixièmes des ligneux hauts (plus de 2 m) sur la placette de 15 m de rayon (700 m²).;canopy cover rate of tall woody species (in 1/10th);canopy cover rate, in 1/10th, of tall (more than 2m) woody species on the 15m-radius (700m2) plot
MA;Manque d’aiguilles;Estimation du manque d’aiguilles pour un arbre résineux.;Lack of needles;Assessment of needle deficiency in a coniferous tree
MASQUE;Masque opposé;Hauteur angulaire en pourcents du faîte du versant opposé à la pente de la placette de 20 ares.;sky-line azimuth;angular height, in percent, of the cardinal direction opposed to the direction of the slope of the 20 ares plot
MES_C13;Mesure de circonférence;Caractérisation de la méthode utilisée pour mesurer (ou estimer) la circonférence de l'arbre à 1,30 m.;tree girth measurement;indicates the method used to measure the tree girth at 1.30m
MORTB;Présence de mortalité de branches;Indicateur de l'importance de la mortalité des branches dans la moitié supérieure du houppier ayant accès à la lumière.;presence of dead branches;Index describing the extent of dead branches on the top half of the crown (with full light access)
MOUSSE;Taux de couvert des bryophytes (en x/10);Taux de couvert en dixièmes des bryophytes (moins de 2 m) sur la placette de 15 m de rayon (700 m²).;bryophytes cover rate (in 1/10th);cover rate in 1/10th of bryophytes (less than 2m) on the 15m-radius (700m2) plot
MR;Manque de ramifications;Estimation du manque de ramifications secondaires pour un arbre feuillu.;Lack of branching;Assessment of the lack of secondary branching in a deciduous tree.
MSUD;Masque sud;Hauteur angulaire en pourcents du masque en direction du sud (entre 175 et 225 grades).;southness;angular height, in percent, of the south-facing slope (175-225 grads)
NINCID;Nature de l'incident (1e visite);Indicateur caractérisant la nature d'un éventuel incident survenu sur le point d'inventaire au cours des 5 dernières années (estimation).;nature of the disturbance;characterisation of a disturbance that could have - potentially - occurred in the inventory plot within the last 5 years (estimated)
NLISI5;Modification de lisière (2e visite);Indicateur précisant les modifications de lisière survenues sur le point d’inventaire entre première et deuxième visite (LT2).;modification of the edge (2nd visit);indication of the edge modifications that occurred on the sampling plot between the first and secon visit.
OBSCHEMIN;Présence de chemin;Indicateur de présence d'un chemin ou d'une sommière sur la placette de 15 m de rayon (700 m²).;presence of trail;indication of the presence of a trail or a clearing on the 15m-radius (700m2) plot
OBSDATE;Aléas climatiques influençant le relevé;Indicateur des conditions d'observation sur les aléas climatiques pouvant influer sur le relevé écologique et floristique.;climatic conditions influencing the survey;indication of the observation conditions on climate factors that could affect the ecological and floristic survey
OBSHAB;Conditions d'observation de la donnée habitat;Donnée d'observation-qualité de la donnée HAB renseignée sur le terrain en association avec un schéma;indicator of observation conditions of the HAB data;quality-observation information for the HAB data, assessed on-site in combination with a plan
OBSHYDR;Observation sur l'hydromorphie;Indicateur des conditions d'observation de l'hydromorphie.;observation on hydromorphic data;indication of observation conditions for hydromorphic data
OBSPEDO;Observation sur le relevé pédologique;Indicateur des conditions d'observation des données pédologiques.;observation on the soil survey;conditions of observation of soil data
OBSPROF;Observation sur la profondeur de sondage;Indicateur des conditions d'observation de la profondeur de sondage.;observation of the soil survey depth;index of the observation conditions of the soil survey depth
OBSRIV;Présence d'unité hydrographique sur le point;Indicateur de présence de mare, source ou cours d'eau sur la placette de rayon de 25 m (2000 m²) ou en bordure;presence of hydrographic unit on the plot;indication of the presence of pond, source or stream within the 25m radius (2000m2) plot or along its edge
OBSRIV2;Type d'unité hydrographique à proximité du point;Type d'unité hydrographique présente à proximité de la placette d'inventaire, à moins de 50 m du piquet repère ou présentant un dénivelé inférieur ou égal à 10 m avec la placette de 20 ares (2000 m²).;hydrographic unit type near the plot;hydrographic unit type near the inventory plot, within a 50m radius from the marker stake or with an elevation difference less than or equal to 10m from the 20 ares (2000 m2) plot.
OBSROC;Observation sur la roche;Nature lithologique des éléments grossiers si différent du type de roche-mère noté;observation on the rock;Lithological nature of the coarse elements if different from the recorded parent rock type
OBSTOPO;Observation sur le relevé topographique;Indicateur des conditions d'observation des données topographiques.;observation on the topographic survey;observation conditions of topographic data
OBSVEGET;Observation sur le relevé de la végétation;Indicateur des conditions d'observation des données de végétation (contexte floristique hétérogène, particulier);observation on the vegetation survey;indication of the observation conditions of the vegetation data (heterogeneous or very specific floristic context)
OFR;Litière fragmentée;Présence d'une couche OF de litière formée de résidus végétaux, surtout d'origine foliaire, plus ou moins fragmentés, toujours reconnaissables à l’œil nu, en mélange avec des proportions variables de matière organique fine.;fragmented litter;presence of an OF litter layer composed of plant residues, mostly of leaf origin, more or less fragmented, still recognizable, in mixture with variable proportions of fine organic matter
OH;Litière humifiée;Présence d'une couche OH comprenant plus de 70 % en volume de matière organique fine.;humified litter;presence of an OH litter layer composed of more than 70% in volume of fine organic matter 
OLN;Litière entière nouvelle;Présence d'une couche OLn de litière formée de feuilles ou d'aiguilles de l'année (tombées depuis moins d'un an), non ou peu transformées, libres entre elles.;entirely new litter;Presence of an OLn layer of litter composed of leaves or needles from the current year (fallen within the past year), minimally decomposed, loosely arranged.
OLT;Litière entière brisée;Présence d'une couche OLt de litière formée par des débris foliaires peu transformés mais fortement fragmentés.;broken whole litter;presence of an OLt litter layer composed of minimally decomposed but heavily fragmented leaf debris 
OLV;Litière entière vieillie;Présence d'une couche OLv de litière formée de feuilles plus ou moins transformées, brunies, blanchie, ramollies et/ou en paquets collés, avec absence de matière organique fine.;aged whole litter;presence of an OLv litter layer composed of partially decomposed, browned, bleached, softened and/or clumped leaves, without fine organic matter
ORDRE;Code de l’ordre;Correspondance entre l’habitat codé sur la placette et les ordres phytosociologiques selon le prodrome des végétations de France;Phytosociological order code;Correspondence between the habitat observed on the plot and phytosociological orders according to the French vegetation prodome
ORI;Origine de l'arbre;L'origine caractérise le mode de reproduction ayant donné naissance à l'arbre.;tree origin;reproduction mode of the tree
ORNIERE;Présence d'ornières;Indicateur caractérisant l'importance des ornières éventuellement visibles sur la placette d'observation de 25 m de rayon (2000 m²).;presence of ruts;indication of the importance of ruts that are potentially visible on the 25m-radius (2000m2) inventory plot
P1525;Présence d'une espèce (recensable) sur la couronne (15-25m);Présence ou non d'arbres recensables de l'espèce ligneuse sur la couronne de la placette (entre 15 et 25 m de rayon). À utiliser avec la donnée ESPAR_C.;indication of the presence in the crown 15m - 25m;indication of the presence of the measurable woody species within the crown between a radius of 15 and 25m
P7ARES;Présence d'une espèce (recensable) sur la placette de 15 m;Présence ou non d'arbres recensables de l'espèce ligneuse sur la placette de 7 ares (15 m de rayon). À utiliser avec la donnée ESPAR_C.;presence on 7 ares;indication of the presence of at least one individual of the focal species on the 7-ares plot
PASSAGE;Numéro de passage;Indique si le point est issu d'un échantillon statistique de premier ou deuxième passage.;;
PBUIS;Présence de buis;Indicateur de présence de buis vivant ou mort sur la placette de 15 m de rayon (700 m²).;presence of box-tree;presence of box-trees (alive or dead individuals) in the 15m-radius (700m2) plot
PCALC;Profondeur d'apparition de la carbonatation;Profondeur d'apparition de la carbonatation de la terre fine dans le sol, en décimètre, limité à 1 mètre (10/10 dm).;depth of occurrence of carbonation;depth of occurrence of carbonation of fine soil, in dm, limited to 1m (10/10 dm)
PCALF;Profondeur d'apparition de la carbonatation forte;Profondeur d'apparition de la carbonatation forte de la terre fine dans le sol, en décimètre, limité à 1 mètre (10/10 dm).;depth of occurrence of heavy carbonation;depth of occurrence of heavy carbonation of fine soil material, in dm, limited to 1m (10/10 dm)
PENT2;Pente moyenne;Valeur moyenne en pourcents de la plus grande pente sur la placette de 25m de rayon (2000 m²).;grade or gradient or slope;average value, in percent, of the steepest slope on the 25m-radius (2000m2) plot
PENTEXP;Pente de débusquage;Plus grande pente dans les premiers 200 mètres de debusquage, sur le trajet réel ou supposé des engins d'exploitation.;skid trail slope;steepest slope within the first 200m of the logging trail, on the true or expected route of logging trucks
PENTN;Classe de pente du sol;Conversion de la classe de pente mesurée (PENT2) en modalités. ;ground slope class;
PEUPNR;Peuplement non recensable;Indicateur permettant de distinguer les peuplements recensables, non recensables et momentanément déboisés.;non-inventoried stand;index allowing to distinguish between inventoried stands, non-inventoried stands and temporarily deforested stands
PGLEY;Profondeur d'apparition du gley;Profondeur d'apparition du gley dans le sol, en décimètre, limité à 1 mètre (10/10 dm).;depth of gley occurrence;depth of gley occurrence in the soil, in dm, limited to 1m (10/10 dm).
PLISI;Présence de lisière;Indicateur de présence d'une éventuelle lisière sur la placette de 25 mètres de rayon (2000 m²).;presence of an edge;indication of the presence of a potential edge on the 25m radius (2000 m2) plot.
PORTANCE;Portance du sol;Indicateur caractérisant la zone la moins portante à franchir par un engin sur l’itinéraire supposé de débusquage.;ground bearing capacity;indication of the area with the lowest bearing capacity on the expected logging route
PORTN;Portance du sol;Indicateur de la capacité du sol à résister au passage d'engins d'exploitation;ground bearing capacity;includes two distinct ideas: the bearing capacity of the terrain, which refers to its capacity to support a weight (sensibility to compaction), and its roughness
POX;Profondeur d'apparition des taches d'oxydation;Profondeur d'apparition des taches d'oxydation dans le sol, en décimètre, limité à 1 mètre (10/10 dm).;depth of occurrence of oxydation spots;depth of occurrence of oxydation spots, in dm, limited to 1m (10/10 dm).
PPSEUDO;Profondeur d'apparition du pseudogley;Profondeur d'apparition du pseudogley dans le sol, en décimètre, limité à 1 mètre (10/10 dm).;depth of occurrence of the pseudogley;depth of occurrence of the pseudogley in the soil, in dm, limited to 1m (10/10 dm)
PRELEV5;Indicateur de coupe (2e visite);Indicateur signalant la présence d’une coupe partielle ou totale des arbres levés lors de la 1e visite (par 2e visite, LT2).;signs of logging (2nd visit);describes the presence of partial cutting or clearcut of trees that were measured during the initial visit (during the 2nd visit)
PROF1;Profondeur de l'horizon supérieur (en dm);Profondeur en décimètres de l'horizon supérieur du sol à deux textures différenciées.;depth of the upper horizon (in dm);depth, in decimeters, of the upper soil horizon with two distinct textures
PROF2;Profondeur de sondage (en dm);Profondeur en décimètres de l'horizon inférieur du sol à deux textures différenciées ou de l'horizon unique du sol à une texture.;sampling depth (in dm);depth, in decimeters, of the lower soil horizon with two distinct textures or of the unique, one texture, soil horizon
Q1;Taux de qualité 1;Proportion de volume de qualité 1 de l'arbre (usage possible en tranchage, déroulage, ébénisterie, menuiserie fine). En 1/10. ;1st quality ratio;proportion of the wood volume that is of first quality (for slicing, peeling, cabinetmarking, fine carpentry). given in 1/10
Q2;Taux de qualité 2;Proportion de volume de qualité 2 de l'arbre (usage possible en autres sciages, menuiserie courante, charpente, caisserie, coffrage, traverses). En 1/10. ;2nd quality ratio;proportion of the wood volume that is of 2nd quality (for other sawing purposes, general carprentry, framing, crate making, formwork, railway sleepers), given in 1/10
Q3;Taux de qualité 3;Proportion de volume de qualité 3 de l'arbre (usage possible en industrie, chauffage). En 1/10.;3rd quality ratio;proportion of the wood volume of 3rd quality (for industrial use, heating). given in 1/10
QUALHAB;Qualité de l'observation de l'habitat;indicateur de qualité sur l'habitat permettant de signaler l'absence de doute sur la détermination de l'habitat ou de préciser l'origine du doute en cas de doute;uncertainty on the habitat;quality indicator on the habitat data, allowing to notify the absence of any uncertainty regarding the identification of the habitat, or to specify the origin of the uncertainty
QUALITE;Qualité du tronc;Estimation pratique de la qualité extérieure de la bille de pied.;wooden log quality;visual estimation of the exterior quality of the wooden log
R;Taux de rebut;Proportion de volume de rebut de l'arbre (de 0 à 1, 1 = 100%);refuse ratio;wood waste ratio of the tree, varying between 0 and 1 (1 = 100%)
RAD13;13 Régions administratives;Découpage en 13 régions administratives (1er janvier 2016);administrative regions;Division into 13 administrative regions (January 1, 2016)
ROCHE;Type de roche-mère;Type de roche-mère selon une simplification de la classification du CEPE-CNRS.;parent material type;parent material type, following a simplified version of the CEPE-CNRS classification
SER;Sylvoécorégions;Découpage en 86 sylvoécorégions, ne tenant pas compte des sylvoécorégions d'alluvions récentes;Sylvoecoregions;Sylvoecoregions are areas displaying similar characteristics in terms of climatic, edaphic and orographic conditions. They are subsets of upper-level geographical units Great Ecological Regions (GRECO).
SFCOEUR;Présence de pourriture à cœur;Indicateur de présence de pourriture à cœur dans l’arbre sondé à cœur.;rotten heartwood;Index decribing the presence of rot in the heartwood
SFDORGE;Présence de dorge sur sapin;Indicateur d'absence ou de présence de dorge sur sapin.;fir broom rust;index describing the presence or absence of fir broom rust
SFGELIV;Présence de gélivure;Indicateur d'absence ou de présence de gélivure.;frost damage;Absence or presence of frost damage on the tree stem
SFGUI;Présence de gui;Indicateur d'absence ou de présence de gui.;presence of mistletoe;presence or absence of mistletoe
SFO;Structure forestière;Caractéristique complexe d'un peuplement associant le régime et la distribution verticale, apprécié sur la placette de 25 m de rayon (2000 m²);stand structure;complex characteristic of a stand combining the regime and vertical distribution, assessed in the 25m-radius (2000 m2) inventory plot
